Constituencies, CANDIDATE NAME , PARTY , TOTAL , % VOTES POLLED , TOTAL ELECTORS ,
Aheri,6 Adv. Lalsu Soma Nogoti,VBA,2394,3.47%,236478,
Aheri,7 Kailashbhau Ganpat Koret,IND,2279,2.18%,236478,
Aheri,8 Dinesh Eshwarshah Madavi,IND,2091,1.44%,236478,
Aheri,9 Atram Ajay Malayya,IND,1559,1.37%,236478,
Aheri,10 Nagesh Laxman Torrem,PWPI,1057,1.26%,236478,
Aheri,TOTAL,NA,166358,0.94%,NA,
Rajura,1 SUBHASH RAMCHANDRARAO DHOTE,INC,60228,0.64%,316018,
Rajura,2 ADV. WAMAN SADASHIVRAO CHATAP,STBP,57727,70.35%,316018,
Rajura,3 ADVOCATE SANJAY YADAVRAO DHOTE,BJP,51051,26.79%,316018,
Rajura,4 GODRU PATIL JUMNAKE,GGP,43306,25.67%,316018,
Rajura,5 MAHALING NAGANAND KANTHALE,MNS,1948,22.70%,316018,
Rajura,6 CHARADE SURESH JAIRAM,IND,1667,19.26%,316018,
Rajura,7 NOTA,NOTA,1563,0.87%,316018,
Rajura,8 BHANUDASH PRAKASH JADHAV,BSP,1469,0.74%,316018,
Rajura,9 RESHMA GANPAT CHAVAN,IND,1456,0.70%,316018,
Rajura,10 SANTOSH GANPAT YEWALE,IND,1333,0.65%,316018,
Rajura,11 SALAM SHAMARAO MARU,IND,1163,0.65%,316018,
Rajura,12 PRAVIN MAROTI NIMGADE,APoI,1048,0.59%,316018,
Rajura,13 ANIL TULSHIRAM SIDAM,IND,898,0.52%,316018,
Rajura,TOTAL,NA,224857,0.47%,NA,
Chandrapur,1 Jorgewar Kishor Gajanan,IND,117570,0.40%,396117,
Chandrapur,2 Nanaji Sitaramji Shamkule,BJP,44909,71.15%,396117,
Chandrapur,3 Anirudha Dhonduji Wankar,VBA,15403,57.96%,396117,
Chandrapur,4 Mahesh Marotrao Mendhe,INC,14284,22.14%,396117,
Chandrapur,5 Namdeo Atmaram Gedam,PPID,3956,7.59%,396117,
Chandrapur,6 Bhikkhu S. Buddhasharan,BSP,1772,7.04%,396117,
Chandrapur,7 NOTA,NOTA,1730,1.95%,396117,
Chandrapur,8 Baban Mahadeo Ramteke,RPI(KH),884,0.87%,396117,
Chandrapur,9 Mandeep Maroti Goradwar,IND,679,0.85%,396117,
Chandrapur,10 Tathagat Namdeo Petkar,IND,562,0.44%,396117,
Chandrapur,11 Adv. Amrita Kumar Gogulwar,APoI,482,0.33%,396117,
Chandrapur,12 Dr. Jyotidas Batau Ramteke,BARESP,324,0.28%,396117,
Chandrapur,13 Sandeep Madan Petkar,IND,294,0.24%,396117,
Chandrapur,TOTAL,NA,202849,0.16%,NA,
Ballarpur,1 Mungantiwar Sudhir Sachchidanand,BJP,86002,0.14%,321083,
Ballarpur,2 Dr. Vishwas Anandrao Zade,INC,52762,51.21%,321083,
Ballarpur,3 Zode Raju Chinnayya,VBA,39958,42.90%,321083,
Ballarpur,4 Manoj Dharma Atram,GGP,13925,26.32%,321083,
Ballarpur,5 NOTA,NOTA,1853,19.93%,321083,
Ballarpur,6 Sarfaraj Yusuf Sheikh,BSP,1381,6.95%,321083,
Ballarpur,7 Taher Hussain, Nasir Mohammad Sheikh",AAAP,1046,0.92%,321083,
Ballarpur,8 Sagar Ankush Raut,IND,880,0.69%,321083,
Ballarpur,9 Sachin Kailas Tembhurne,APoI,630,0.52%,321083,
Ballarpur,10 Bandu Zungaji Wakade,IND,461,0.44%,321083,
Ballarpur,11 Ashok Sambaji Tumram,IND,420,0.31%,321083,
Ballarpur,12 Tara Mahadeorao Kale,IND,405,0.23%,321083,
Ballarpur,13 Anekshwar Raghunath Meshram,IND,380,0.21%,321083,
Ballarpur,14 Arun Devidas Kamble,RPIR,357,0.20%,321083,
Ballarpur,TOTAL,NA,200460,0.19%,NA,
Brahmapuri,1 VIJAY NAMDEVRAO WADETTIWAR,INC,96726,0.18%,270601,
Brahmapuri,2 SANDIP WAMANRAO GADDAMWAR,SHS,78177,62.43%,270601,
Brahmapuri,3 CHANDRALAL WAKTUJI MESHRAM,VBA,7608,50.00%,270601,
Brahmapuri,4 Adv. PAROMITA GOSWAMI,AAAP,3596,40.41%,270601,
Brahmapuri,5 VINOD RAMDAS ZODAGE,CPI,1993,3.93%,270601,
Brahmapuri,6 MUKUNDA DEWAJI MESHRAM,BSP,1925,1.86%,270601,
Brahmapuri,7 NOTA,NOTA,1099,1.03%,270601,
Brahmapuri,8 JAGDISH ALIAS MONTU NANDUJI PILARE,SBBGP,962,0.99%,270601,
Brahmapuri,9 VISHWANATH SITRUJI SHRIRAME,IND,479,0.57%,270601,
Brahmapuri,10 Adv. AJAY RAMBHAU PANDAV,IND,359,0.50%,270601,
Brahmapuri,11 PRANAV RINGAJI SOMANKAR,IND,282,0.25%,270601,
Brahmapuri,12 VINAY NAMDEO BAMBOLE,IND,262,0.19%,270601,
Brahmapuri,TOTAL,NA,193468,0.15%,NA,
Chimur,1 Bunty Bhangdiya,BJP,87146,0.14%,277652,
Chimur,2 Satish Manohar Warjukar,INC,77394,71.50%,277652,
Chimur,3 Arvind Atmaram Sandekar,VBA,24474,41.94%,277652,
Chimur,4 Dhanraj Raghunath Mungale,IND,11339,37.25%,277652,
Chimur,5 Subhash Narayan Petkar,BSP,2239,11.78%,277652,
Chimur,6 NOTA,NOTA,1835,5.46%,277652,
Chimur,7 Prakash Nakkal Nanhe,PWPI,1438,1.08%,277652,
Chimur,8 Haridas Domaji Barekar,IND,657,0.88%,277652,
Chimur,9 Kailas Shrihari Borkar,IND,509,0.69%,277652,
Chimur,10 Dr. Ajay Ghanshyamji Pise,IND,479,0.32%,277652,
Chimur,11 Vanita Jitendra Raut,ABMP,286,0.24%,277652,
Chimur,TOTAL,NA,207796,0.23%,NA,
Warora,1 DHANORKAR PRATIBHA SURESH,INC,63862,0.14%,296588,
Warora,2 SANJAY WAMANRAO DEOTALE,SHS,53665,74.84%,296588,
Warora,3 RAMESH MAHADEO RAJURKAR,MNS,34848,34.40%,296588,
Warora,4 AMOL DILIP BAWANE,VBA,11342,28.91%,296588,
Warora,5 RAMESH KAWDUJI MESHRAM,GGP,6388,18.77%,296588,
Warora,6 DR. VIJAY RAMCHANDRA DEOTALE,IND,6127,6.11%,296588,
Warora,7 NOTA,NOTA,2224,3.44%,296588,
Warora,8 PRASHANT BHAURAOJI BHADGARE,BSP,1999,3.30%,296588,
Warora,9 DR. ASHOKRAO TANBAJI GHODMARE,IND,1841,1.20%,296588,
Warora,10 UTTAM ISHWAR INGOLE,SBBGP,919,1.08%,296588,
Warora,11 PRAVIN BHAGWAN GAYKWAD,IND,846,0.99%,296588,
Warora,12 PRAVIN SHANTILALJI SURANA,IND,665,0.50%,296588,
Warora,13 ASHRAF ASLAM KHAN,BVA,547,0.46%,296588,
Warora,14 BHASKAR PARASRAM DEKATE,RPIS,350,0.36%,296588,
Warora,TOTAL,NA,185623,0.29%,NA,
Wani,1 SANJIVREDDY BAPURAO BODKURWAR,BJP,67710,0.19%,284853,
Wani,2 WAMANRAO BAPURAO KASAWAR,INC,39915,62.59%,284853,
Wani,3 DERKAR SANJAY NILKANTHRAO,IND,25045,32.38%,284853,
Wani,4 RAJU MADHUKARRAO UMBARKAR,MNS,16115,19.09%,284853,
Wani,5 DR. MAHENDRA AMARCHANDJI LODHA,VBA,15489,11.98%,284853,
Wani,6 VISHVAS RAMCHANDRA NANDEKAR,IND,15425,7.71%,284853,
Wani,7 KATKADE SUNIL MAHADEORAO,IND,8473,7.41%,284853,
Wani,8 VIKAS DEVRAO KUDMETHE,GGP,6731,7.38%,284853,
Wani,9 ANIL NATTHUJI GHATE,CPI,3136,4.05%,284853,
Wani,10 AJAY PANDURANG DHOBE,SBBGP,2151,3.22%,284853,
Wani,11 GOPAL LAKSHMAN CHAUDHARI,RPI(KH),1380,1.50%,284853,
Wani,12 NOTA,NOTA,1249,1.03%,284853,
Wani,13 SANTOSH UDDHAVRAO BHADIKAR,BSP,1233,0.66%,284853,
Wani,14 CHETAN ANANDRAO AGLAWE,IND,1149,0.60%,284853,
Wani,15 KETAN NATTHUJI PARKHI,IND,1090,0.59%,284853,
Wani,16 GEET MOTIRAM GHOSH,IND,904,0.55%,284853,
Wani,17 MRUTYUNJAY GAJANANRAO MORE,IND,622,0.52%,284853,
Wani,18 VIVEK JAMNADAS KHOBRAGADE,BMUP,461,0.43%,284853,
Wani,19 YOGESH KARU MADAVI,IND,432,0.30%,284853,
Wani,20 SANGITA ASHOK KHATOD,BALP,395,0.22%,284853,
Wani,TOTAL,NA,209105,0.21%,NA,
Ralegaon,1 Ashok Ramaji Wooike (Uike),BJP,90823,0.19%,283514,
Ralegaon,2 Vasant Chindhuji Purke,INC,80948,73.41%,283514,
Ralegaon,3 Kohale Madhav Zingraji,VBA,10705,45.95%,283514,
Ralegaon,4 Shailesh Bhaskar Kisan Gadekar,BSP,3370,40.95%,283514,
Ralegaon,5 Gulab Janba Pandhare,PHJSP,3347,5.42%,283514,
Ralegaon,6 NOTA,NOTA,2056,1.70%,283514,
Ralegaon,7 Uttam Somaji Mankar,IND,1739,1.69%,283514,
Ralegaon,8 Madhukar Bhimrao Ghasalkar,IND,1160,1.04%,283514,
Ralegaon,9 Madhusudan Bapurao Kove,IND,966,0.88%,283514,
Ralegaon,10 Sachin Vinayak Kinnake,BMUP,658,0.59%,283514,
Ralegaon,11 Kavita Shankar Kanake,BVA,650,0.49%,283514,
Ralegaon,12 Namdeo Sheshrao Atram,SaRaPa,438,0.33%,283514,
Ralegaon,13 Digambar Bhawrao Meshram,IND,420,0.33%,283514,
Ralegaon,14 Homdeo Haribhau Kanake,BALP,396,0.22%,283514,
Ralegaon,TOTAL,NA,197676,0.21%,NA,
Yavatmal,1 MADAN MADHUKAR YERAWAR,BJP,80425,0.20%,384935,
Yavatmal,2 ANIL ALIAS BALASAHEB SHANKARRAO MANGULKAR,INC,78172,69.72%,384935,
Yavatmal,3 SANTOSH MAROTRAO DHAWALE,IND,38345,37.28%,384935,
Yavatmal,4 YOGESH SHIVRAM DESHMUKH PARWEKAR,VBA,7930,36.24%,384935,
Yavatmal,5 BIPIN ANIL CHAUDHARI,PHJSP,3757,17.78%,384935,
Yavatmal,6 SANDIP ANANT DEVKATE,BSP,1848,3.68%,384935,
Yavatmal,7 NOTA,NOTA,1785,1.74%,384935,
Yavatmal,8 AMOL LAXMANRAO BORKHADE, ADVOCATE",VRA,1316,0.86%,384935,
Yavatmal,9 MANOJ MAHADEORAO GEDAM,IND,587,0.83%,384935,
Yavatmal,10 SARIKA ABHIJIT BHAGAT,BMUP,387,0.61%,384935,
Yavatmal,11 ABDUL AZIZ ABDUL SATTAR DUNGE,SVPP,359,0.27%,384935,
Yavatmal,12 JAVED HAMID SHEIKH,IND,314,0.18%,384935,
Yavatmal,13 BAJAJ SHAM OMPRAKASH,BALP,309,0.17%,384935,
Yavatmal,14 ASHOK CHANDRABHANJI KALMORE,IND,183,0.15%,384935,
Yavatmal,TOTAL,NA,215717,0.14%,NA,
Digras,1 Rathod Sanjay Dulichand,SHS,136824,0.08%,322980,
Digras,2 Deshmukh Sanjay Uttamrao,IND,73217,56.04%,322980,
Digras,3 Tarik Sahir Lokhandwala,NCP,6205,60.60%,322980,
Digras,4 Adv. Shehjad Samiulla Khan,VBA,3077,32.43%,322980,
Digras,5 Devrao Ramnath Masal,BALP,1811,2.75%,322980,
Digras,6 NOTA,NOTA,1083,1.36%,322980,
Digras,7 Ejaj Navaj Khan,BSP,959,0.80%,322980,
Digras,8 Bimod Vitthal Mudhane,BMUP,875,0.48%,322980,
Digras,9 Nandubhau Thakare,IND,743,0.42%,322980,
Digras,10 Bhimrao Keshravrao Patil,IND,586,0.39%,322980,
Digras,11 Ashish Manoharrao Deshmukh,IND,396,0.33%,322980,
Digras,TOTAL,NA,225776,0.26%,NA,
Arni,1 DR. DHURVE SANDEEP PRABHAKAR,BJP,81599,0.18%,312268,
Arni,2 SHIVAJIRAO SHIVRAMJI MOGHE,INC,78446,69.90%,312268,
Arni,3 RAJU NARAYAN TODSAM,IND,26949,38.62%,312268,
Arni,4 NIRANJAN SHIVRAM MASRAM,VBA,12307,37.13%,312268,
Arni,5 Adv. ANIL BHIMRAO KINAKE,BMUP,2791,12.75%,312268,
Arni,6 NOTA,NOTA,2411,5.82%,312268,
Arni,7 Baliram Abhiman Neware,BSP,2032,1.32%,312268,
Arni,8 RAHUL SUBHASH SOYAM,IND,1332,1.14%,312268,
Arni,9 Aitwar Ramreddy Ramkishtu,IND,1218,0.96%,312268,
Arni,10 ATRAM MAROTI ALIAS PAVANKUMAR,GGP,753,0.63%,312268,
Arni,11 KRUSHNA TUKARAM ADE,IND,740,0.58%,312268,
Arni,12 SONERAO LAKHUJI KOTNAKE,IND,716,0.36%,312268,
Arni,TOTAL,NA,211294,0.35%,NA,
Pusad,1 Naik Indranil Manohar,NCP,89143,0.34%,293635,
Pusad,2 Nilay Madhukar Naik,BJP,79442,67.66%,293635,
Pusad,3 (Nana) Bele Dnyaneshwar Dadarao,VBA,11255,47.05%,293635,
Pusad,4 Shaligram Tukaram Tambare,BAHUMP,2153,41.93%,293635,
Pusad,5 NOTA,NOTA,1445,5.94%,293635,
Pusad,6 Adv. Savitatai Adhao,BSP,1431,1.14%,293635,
Pusad,7 Abhay Madhukar Gadam,MNS,1302,0.76%,293635,
Pusad,8 Jinkar Sudam Rathod,IND,901,0.76%,293635,
Pusad,9 Mazeed Lala,TPSTP,897,0.69%,293635,
Pusad,10 Uttam Bhagaji Kumble,PRCP,511,0.48%,293635,
Pusad,11 Namdevrao Yashawantrao Ingale,APoI,502,0.47%,293635,
Pusad,12 Anil Laxman Rathod,DONP,474,0.27%,293635,
Pusad,TOTAL,NA,189456,0.26%,NA,
Umarkhed,1 Namdev Jayram Sasane,BJP,87337,0.25%,293480,
Umarkhed,2 Khadse Vijayrao Yadavrao,INC,78050,64.52%,293480,
Umarkhed,3 Dr. Vinkare Vishwanath Umaji,IND,18248,44.40%,293480,
Umarkhed,4 Pramod Motiram Duthade,VBA,6433,39.68%,293480,
Umarkhed,5 NOTA,NOTA,1497,9.28%,293480,
Umarkhed,6 Prof. Minakshi A. Savalkar,BSP,1213,3.27%,293480,
Umarkhed,7 Ranveer Sandesh Gautamrao,IND,1109,0.76%,293480,
Umarkhed,8 Adv. Kailas Ramrao Wankhede,MNS,1015,0.62%,293480,
Umarkhed,9 Kishor Devidas Nagare,BMUP,747,0.56%,293480,
Umarkhed,10 Madhukar Narayan Wankhede,IND,611,0.52%,293480,
Umarkhed,11 Uttam Bhagaji Kumble,PRCP,456,0.38%,293480,
Umarkhed,TOTAL,NA,196716,0.31%,NA,
Kinwat,1 Bhimrao Ramji Keram,BJP,89628,0.23%,259579,
Kinwat,2 JADHAV PRADEEP NAIK,NCP,76356,67.03%,259579,
Kinwat,3 Prof. Dr. Hamraj Uike,VBA,11764,48.56%,259579,
Kinwat,4 NOTA,NOTA,1041,41.37%,259579,
Kinwat,5 Vinod Rathod (Patil),MNS,1002,6.37%,259579,
Kinwat,6 Walkulwad Kondba Maroti,IND,895,0.56%,259579,
Kinwat,7 Adv Pradip Deva Rathod,IND,797,0.54%,259579,
Kinwat,8 Madhavrao Sudamji Maraskole,IND,409,0.48%,259579,
Kinwat,9 Adkine Santosh Madhav,BMUP,402,0.43%,259579,
Kinwat,10 Rajesh Narayan Dhaware,IND,400,0.22%,259579,
Kinwat,11 Sandipbhau Nikhate,BSP,343,0.22%,259579,
Kinwat,12 Mirchi Maharaj Dharamdas Tripathi,JJJKP,315,0.22%,259579,
Kinwat,13 Vishal Datta Shinde,SBBGP,315,0.19%,259579,
Kinwat,14 Anaiddin Fayyajoddin Shaikh,IND,304,0.17%,259579,
Kinwat,15 Syed Imran Ali,IUML,298,0.17%,259579,
Kinwat,16 Shadulla Shekha Ahemad,BALP,287,0.16%,259579,
Kinwat,TOTAL,NA,184556,0.16%,NA,
Hadgaon,1 Jawalgaonkar Madhavrao Nivruttirao Patil,INC,74325,0.16%,279379,
Hadgaon,2 Kadam Sambharao Urf Baburao Kohalikar,IND,60962,71.10%,279379,
Hadgaon,3 Ashtikar Nagesh Bapurao Patil,SHS,44143,37.96%,279379,
Hadgaon,4 Bharati Sudarshan Rambharati,VBA,10856,31.13%,279379,
Hadgaon,5 Ramchandra Fakira Rathod,BSP,907,22.55%,279379,
Hadgaon,6 Nakhate Satwaji Digambar,BMUP,775,5.54%,279379,
Hadgaon,7 NOTA,NOTA,682,0.46%,279379,
Hadgaon,8 Adv. Marotrao Kanhobarao Hukke Patil(Vakil),IND,629,0.40%,279379,
Hadgaon,9 Ahemad A. Gaffar Shaikh,IND,425,0.35%,279379,
Hadgaon,10 Santosh Maroti Boinwad,IND,415,0.32%,279379,
Hadgaon,11 Ghunnar Prakash Vitthalrao,IND,376,0.22%,279379,
Hadgaon,12 Shrinivas Vaijnathrao Potdar,IND,355,0.21%,279379,
Hadgaon,13 Chandrashekhar Uttamrao Kadam,IND,256,0.19%,279379,
Hadgaon,14 Tryambakrao Shankarrao Deshmukh,IND,244,0.18%,279379,
Hadgaon,15 Ha. Bha. Pa. Pracharya S.G. Chavan Unchadkar,IND,225,0.13%,279379,
Hadgaon,16 Tiwhale Govind Sogaji,RBS,224,0.12%,279379,
Hadgaon,TOTAL,NA,195799,0.11%,NA,
Bhokar,1 Ashokrao Shankarrao Chavan,INC,140559,0.11%,279004,
Bhokar,2 Shrinivas alias Bapusaheb Deshmukh Gorthekar,BJP,43114,70.08%,279004,
Bhokar,3 Ayalwad Namdev Nagorao,VBA,17813,67.78%,279004,
Bhokar,4 Bhagwan Bhimrao Kadam,SBBGP,2069,20.79%,279004,
Bhokar,5 NOTA,NOTA,1297,8.59%,279004,
Bhokar,6 Ratnakar S/o Shamrao Taru,BSP,1240,1.00%,279004,
Bhokar,7 Paparao Pandit Chavan,IND,956,0.63%,279004,
Bhokar,8 Balaprasad Narayan Lingampalle,IND,334,0.60%,279004,
Bhokar,TOTAL,NA,207382,0.46%,NA,
Nanded North,1 Balaji Devidasrao Kalyankar,SHS,62884,0.16%,313523,
Nanded North,2 D. P. Savant,INC,50778,74.33%,313523,
Nanded North,3 Feroz Lala,AIMIM,41892,33.18%,313523,
Nanded North,4 Mukundrao Narharrao Chawre,VBA,26569,26.80%,313523,
Nanded North,5 Dr. Prakash Govindrao Bagate,BSP,1105,22.11%,313523,
Nanded North,6 NOTA,NOTA,940,14.02%,313523,
Nanded North,7 Sandip Renukadasrao Pande,PHJSP,630,0.58%,313523,
Nanded North,8 Shrikant Laxmanrao Gaikwad,IND,601,0.50%,313523,
Nanded North,9 Gangadhar Satwaji Fugare,MNS,502,0.33%,313523,
Nanded North,10 Adv. Mohammad Naveed Pathan,IND,477,0.32%,313523,
Nanded North,11 Imran Bashar,BAHUMP,423,0.26%,313523,
Nanded North,12 Sahebrao Nagorao Gundile,IND,374,0.25%,313523,
Nanded North,13 Suryakant Namdev Tadalapurkar,IND,302,0.22%,313523,
Nanded North,14 Joshi Sudhakar Devidas,IND,278,0.20%,313523,
Nanded North,15 Nitish Urf Bandu Pawade,IND,248,0.16%,313523,
Nanded North,16 Mohammad Ali Mohammad Rahimoddin,IND,207,0.15%,313523,
Nanded North,17 Rajesh Pimple,IUML,200,0.13%,313523,
Nanded North,18 Gajbhare Sahebrao Bhiva,IND,175,0.11%,313523,
Nanded North,19 Sagar Maroti Jadhav,IND,161,0.11%,313523,
Nanded North,20 Rohit Dattatreya Aadekar,BMUP,151,0.09%,313523,
Nanded North,21 Sugat Dattrao Pundge,BVA,150,0.08%,313523,
Nanded North,22 Jaideep Subhash Paithane,IND,138,0.08%,313523,
Nanded North,23 Sopan Balajirao Nevhal,RASMARP,132,0.08%,313523,
Nanded North,24 M.Aa. Sadeeq M.Aa. Rajak,ANC,117,0.07%,313523,
Nanded North,25 Sambhaji Dasharath Shinde,IND,67,0.07%,313523,
Nanded North,,NA,NA,0.06%,60.44245558,NA
Nanded South,1 Mohanrao Marotrao Hambarde,INC,46943,0.04%,285122,
Nanded South,2 Deelip Venkatrao Kandkurte,IND,43351,60.44%,285122,
Nanded South,3 Rajshri Hemant Patil,SHS,37066,25.68%,285122,
Nanded South,4 Farukh Ahemad Iqbal Ahemad,VBA,26713,23.71%,285122,
Nanded South,5 Mohammad Saber Chaus,AIMIM,20122,20.28%,285122,
Nanded South,6 NOTA,NOTA,788,14.61%,285122,
Nanded South,7 Latifkhan Peerkhan Pathan,IND,760,11.01%,285122,
Nanded South,8 Md. Akhmaloddin Alias Adv. Arshad Ghiyasoddin,IND,675,0.43%,285122,
Nanded South,9 Vishwanath Ramji Dhotre,BSP,637,0.42%,285122,
Nanded South,10 Sayed Tanveer,IND,389,0.37%,285122,
Nanded South,11 Shey Maula Shey Usman,IND,332,0.35%,285122,
Nanded South,12 Shaikh Sajid,BAHUMP,321,0.21%,285122,
Nanded South,13 Shivanand Ashokrao Deshmukh,IND,319,0.18%,285122,
Nanded South,14 Ashok Ananda Waghmare,IND,308,0.18%,285122,
Nanded South,15 Karnasingh Gurucharansingh Chandan,IND,307,0.17%,285122,
Nanded South,16 Dr. Dasrao Raosaheb Deshmukh,IND,306,0.17%,285122,
Nanded South,17 Nayyar Janha Mahamad Feroz Hussain,IND,302,0.17%,285122,
Nanded South,18 Dhavle Suresh Baliram,IND,302,0.17%,285122,
Nanded South,19 Balasaheb Dagadu Jadhav,SBBGP,267,0.17%,285122,
Nanded South,20 Altaf Ahmed,IUML,252,0.17%,285122,
Nanded South,21 Suresh Rajesh Gomsale,IND,232,0.15%,285122,
Nanded South,22 Zafar Ali Khan,IND,209,0.14%,285122,
Nanded South,23 Shiakh Muneer,IND,197,0.13%,285122,
Nanded South,24 Abdul Rais Ahemad,ANC,192,0.11%,285122,
Nanded South,25 Prakash Kallappa Koudge,IND,192,0.11%,285122,
Nanded South,26 Shaikh Farukh,IND,188,0.11%,285122,
Nanded South,27 Jaikumar Gopinath Doibale,IND,143,0.11%,285122,
Nanded South,28 Rajesh Rameshrao More,IND,127,0.10%,285122,
Nanded South,29 Panchphula Chandrakant Taru,IND,112,0.08%,285122,
Nanded South,30 Milind Siddharth Sitale,IND,106,0.07%,285122,
Nanded South,31 Mohammad Nadeem Mohammad Iqbal,IND,95,0.06%,285122,
Nanded South,32 Gani Sk Rasool M,IND,90,0.06%,285122,
Nanded South,33 Nitin Vijay Bansode,IND,82,0.05%,285122,
Nanded South,34 Mahammad Mujahid Mahammad Khaja,IND,73,0.05%,285122,
Nanded South,35 Mudsaruddin Alimuddin,IND,73,0.04%,285122,
Nanded South,36 Rauf Abdul Wahed Abdul,IND,67,0.04%,285122,
Nanded South,37 Sambhaji Dashrath Shinde,IND,67,0.04%,285122,
Nanded South,38 Mansoor Khan Maheboob Khan,IND,64,0.04%,285122,
Nanded South,39 Sajeer Rashid Mohammad,IND,47,0.04%,285122,
Nanded South,TOTAL,NA,182816,0.04%,NA,
Loha,1 Shyamsundar Shinde,PWPI,101668,0.03%,274323,
Loha,2 Shivkumar Narayanrao Narangale,VBA,37306,64.12%,274323,
Loha,3 Dhondge Mukteshwar Keshavrao,SHS,30965,52.76%,274323,
Loha,4 Dilip Shankaranna Dhondge,NCP,14517,19.36%,274323,
Loha,5 Subhash Bhagwan Kolhe,SBBGP,2559,16.07%,274323,
Loha,6 Pandurang Tolaba Wanne,IND,1700,7.53%,274323,
Loha,7 NOTA,NOTA,1249,1.33%,274323,
Loha,8 Hanmant Raghunath Wadwale,BSP,1118,0.88%,274323,
Loha,9 Bharat Babarao Kopnar,IND,634,0.65%,274323,
Loha,10 Rukminbai Shankarrao Gite,JD(S),518,0.58%,274323,
Loha,11 Rangnath Bapurao Gajale,IND,461,0.33%,274323,
Loha,TOTAL,NA,192695,0.27%,NA,
Naigaon,1 Rajesh Pawar,BJP,117750,0.24%,283413,
Naigaon,2 Chavan Vasantrao Balwantrao,INC,63366,70.24%,283413,
Naigaon,3 Marotrao Vyankatrao Kawale Guruji,VBA,23005,56.07%,283413,
Naigaon,4 Aniket Amrutrao Shinde,SBBGP,1221,30.17%,283413,
Naigaon,5 NOTA,NOTA,960,10.95%,283413,
Naigaon,6 Ajaj Najirsab Sayyad,AIMIM,954,0.58%,283413,
Naigaon,7 Sayyad Haidar Sayyad Rajjaq,IND,698,0.46%,283413,
Naigaon,8 Havgirao Sambhaji Honshette,IND,659,0.45%,283413,
Naigaon,9 Babarao Laxmanrao Dongaonkar,NSPU,404,0.33%,283413,
Naigaon,10 Digambar Hulappa Ramlod,IND,305,0.31%,283413,
Naigaon,11 Shankar Poshatti Shamante,IND,301,0.19%,283413,
Naigaon,12 Kailas Subhash Bhalerao,IND,221,0.15%,283413,
Naigaon,13 Varsharani Baburao Namwad,BHAPRAP,167,0.14%,283413,
Naigaon,TOTAL,NA,210011,0.11%,NA,
Deglur,1 Antapurkar Raosaheb Jayvanta,INC,89407,0.08%,291870,
Deglur,2 Sabne Subhash Pirajirao,SHS,66974,74.10%,291870,
Deglur,3 Ramchandra Gangaram Bharande,VBA,12057,50.19%,291870,
Deglur,4 Balaji Baliram Bande,IND,3523,37.60%,291870,
Deglur,5 NOTA,NOTA,1676,6.77%,291870,
Deglur,6 Savitribai Kamble Nagnikar,BSP,1365,1.98%,291870,
Deglur,7 Ramchandra Laloo Vananje,IND,1001,0.94%,291870,
Deglur,8 Balwant Rajaram Gajbhare,IND,846,0.77%,291870,
Deglur,9 Vimal Baburao Wagmare,NSPU,659,0.56%,291870,
Deglur,10 Bhimrao Narayan Gaikwad,IND,623,0.47%,291870,
Deglur,TOTAL,NA,178131,0.37%,NA,
Mukhed,1 Tushar Govindrao Rathod,BJP,102573,0.35%,283183,
Mukhed,2 Bhausaheb Khushalrao Patil,INC,70710,61.03%,283183,
Mukhed,3 Jivan Vithalrao Daregawe,VBA,8756,55.14%,283183,
Mukhed,4 Balaji Janardhan Aaglave,SBBGP,1683,38.01%,283183,
Mukhed,5 Jitendra Dashrath Waghmare,BSP,1218,4.71%,283183,
Mukhed,6 NOTA,NOTA,1074,0.90%,283183,
Mukhed,TOTAL,NA,186014,0.65%,NA,
Basmath,1 Chandrakant Alias Rajubhaiyya Ramakant Nawghare,NCP,75321,0.58%,292304,
Basmath,2 Adv. Shivaji Munjajirao Jadhav,IND,67070,65.69%,292304,
Basmath,3 Mundada Jaiprakash Shankarlal,SHS,41557,34.59%,292304,
Basmath,4 Shaikh Farid Alias Munir Isak Patel,VBA,25397,30.80%,292304,
Basmath,5 NOTA,NOTA,1957,19.09%,292304,
Basmath,6 Gautam Marotrao Dipke,BSP,1177,11.66%,292304,
Basmath,7 Avez Ansari,ANC,933,0.90%,292304,
Basmath,8 Kondiba Gounaji Maske,APoI,911,0.54%,292304,
Basmath,9 Balasaheb Desai Deshmukh,IND,843,0.43%,292304,
Basmath,10 Jadhav Shivaji Nandu,IND,812,0.42%,292304,
Basmath,11 Raghunath Subhanji Suryawanshi,IND,747,0.39%,292304,
Basmath,12 Jadhav Shivaji Dhanju,IND,528,0.37%,292304,
Basmath,13 Ashok (Samrat) Sambhaji Gaikwad,IND,480,0.34%,292304,
Basmath,TOTAL,NA,217733,0.24%,NA,
Kalamnuri,1 Bangar Santosh Laxmanrao,SHS,82515,0.22%,305506,
Kalamnuri,2 Ajit Magar,VBA,66137,74.49%,305506,
Kalamnuri,3 Dr. Santosh Kautika Tarfe,INC,57544,39.04%,305506,
Kalamnuri,4 NOTA,NOTA,1247,31.29%,305506,
Kalamnuri,5 Tarfe Santosh Ambadas,IND,1088,27.23%,305506,
Kalamnuri,6 Mushtak Esak Shaikh,ANC,1078,0.59%,305506,
